N,y_N,y_POW_2,y_LOG
1,1.0,1.0,0.0
1,1.0,1.0,0.0
2,2.0,4.0,0.6931471805599453
2,2.0,4.0,0.6931471805599453
3,3.0,9.0,1.0986122886681098
3,3.0,9.0,1.0986122886681098
4,4.0,16.0,1.3862943611198906
4,4.0,16.0,1.3862943611198906
5,5.0,25.0,1.6094379124341003
5,5.0,25.0,1.6094379124341003
6,6.0,36.0,1.791759469228055
6,6.0,36.0,1.791759469228055
7,7.0,49.0,1.9459101490553132
7,7.0,49.0,1.9459101490553132
8,8.0,64.0,2.0794415416798357
8,8.0,64.0,2.0794415416798357
9,9.0,81.0,2.1972245773362196
9,9.0,81.0,2.1972245773362196
10,10.0,100.0,2.302585092994046
10,10.0,100.0,2.302585092994046
11,11.0,121.0,2.3978952727983707
11,11.0,121.0,2.3978952727983707
12,12.0,144.0,2.4849066497880004
12,12.0,144.0,2.4849066497880004
13,13.0,169.0,2.5649493574615367
13,13.0,169.0,2.5649493574615367
14,14.0,196.0,2.6390573296152584
14,14.0,196.0,2.6390573296152584
15,15.0,225.0,2.70805020110221
15,15.0,225.0,2.70805020110221
16,16.0,256.0,2.772588722239781
16,16.0,256.0,2.772588722239781
17,17.0,289.0,2.833213344056216
17,17.0,289.0,2.833213344056216
18,18.0,324.0,2.8903717578961645
18,18.0,324.0,2.8903717578961645
19,19.0,361.0,2.9444389791664403
19,19.0,361.0,2.9444389791664403
20,20.0,400.0,2.995732273553991
20,20.0,400.0,2.995732273553991
21,21.0,441.0,3.044522437723423
21,21.0,441.0,3.044522437723423
22,22.0,484.0,3.091042453358316
22,22.0,484.0,3.091042453358316
23,23.0,529.0,3.1354942159291497
23,23.0,529.0,3.1354942159291497
24,24.0,576.0,3.1780538303479458
24,24.0,576.0,3.1780538303479458
25,25.0,625.0,3.2188758248682006
25,25.0,625.0,3.2188758248682006
26,26.0,676.0,3.258096538021482
26,26.0,676.0,3.258096538021482
27,27.0,729.0,3.295836866004329
27,27.0,729.0,3.295836866004329
28,28.0,784.0,3.332204510175204
28,28.0,784.0,3.332204510175204
29,29.0,841.0,3.367295829986474
29,29.0,841.0,3.367295829986474
30,30.0,900.0,3.4011973816621555
30,30.0,900.0,3.4011973816621555
31,31.0,961.0,3.4339872044851463
31,31.0,961.0,3.4339872044851463
32,32.0,1024.0,3.4657359027997265
32,32.0,1024.0,3.4657359027997265
33,33.0,1089.0,3.4965075614664802
33,33.0,1089.0,3.4965075614664802
34,34.0,1156.0,3.5263605246161616
34,34.0,1156.0,3.5263605246161616
35,35.0,1225.0,3.5553480614894135
35,35.0,1225.0,3.5553480614894135
36,36.0,1296.0,3.58351893845611
36,36.0,1296.0,3.58351893845611
37,37.0,1369.0,3.6109179126442243
37,37.0,1369.0,3.6109179126442243
38,38.0,1444.0,3.6375861597263857
38,38.0,1444.0,3.6375861597263857
39,39.0,1521.0,3.6635616461296463
39,39.0,1521.0,3.6635616461296463
40,40.0,1600.0,3.6888794541139363
40,40.0,1600.0,3.6888794541139363
41,41.0,1681.0,3.713572066704308
41,41.0,1681.0,3.713572066704308
42,42.0,1764.0,3.7376696182833684
42,42.0,1764.0,3.7376696182833684
43,43.0,1849.0,3.7612001156935624
43,43.0,1849.0,3.7612001156935624
44,44.0,1936.0,3.784189633918261
44,44.0,1936.0,3.784189633918261
45,45.0,2025.0,3.8066624897703196
45,45.0,2025.0,3.8066624897703196
46,46.0,2116.0,3.828641396489095
46,46.0,2116.0,3.828641396489095
47,47.0,2209.0,3.8501476017100584
47,47.0,2209.0,3.8501476017100584
48,48.0,2304.0,3.871201010907891
48,48.0,2304.0,3.871201010907891
49,49.0,2401.0,3.8918202981106265
49,49.0,2401.0,3.8918202981106265
50,50.0,2500.0,3.912023005428146
50,50.0,2500.0,3.912023005428146
